"SCHOOL_NAME","SCHOOL_YEAR","race_df","magnet","traditional","total_race","total_school","pct_race","pct_magnet","pct_traditional","dominant_race","STEM","ARTS","IB","MEDICAL","CAREER_TECH","ENVIRONMENTAL","num_programs","pct_free","pct_nonfree","diversity"
"BLAKE HIGH SCHOOL",2021,"Black",236,323,559,1401,0.399000713775874,0.422182468694097,0.577817531305903,"Black",0,1,0,0,0,0,1,0.62597586941093,0.37402413058907,1.2662626479003
"BLAKE HIGH SCHOOL",2021,"Hispanic",204,204,408,1401,0.291220556745182,0.5,0.5,"Black",0,1,0,0,0,0,1,0.62597586941093,0.37402413058907,1.2662626479003
"BLAKE HIGH SCHOOL",2021,"Multiracial",52,25,77,1401,0.0549607423269094,0.675324675324675,0.324675324675325,"Black",0,1,0,0,0,0,1,0.62597586941093,0.37402413058907,1.2662626479003
"BLAKE HIGH SCHOOL",2022,"White",271,44,315,1432,0.219972067039106,0.86031746031746,0.13968253968254,"Black",0,1,0,0,0,0,1,1,0,1.27157267394012
"BLAKE HIGH SCHOOL",2022,"Asian",14,0,14,1432,0.00977653631284916,1,0,"Black",0,1,0,0,0,0,1,1,0,1.27157267394012
"BLAKE HIGH SCHOOL",2022,"Black",224,378,602,1432,0.420391061452514,0.372093023255814,0.627906976744186,"Black",0,1,0,0,0,0,1,1,0,1.27157267394012
"BLAKE HIGH SCHOOL",2022,"Hispanic",204,210,414,1432,0.289106145251397,0.492753623188406,0.507246376811594,"Black",0,1,0,0,0,0,1,1,0,1.27157267394012
"BLAKE HIGH SCHOOL",2022,"Multiracial",65,22,87,1432,0.0607541899441341,0.747126436781609,0.252873563218391,"Black",0,1,0,0,0,0,1,1,0,1.27157267394012
"BLAKE HIGH SCHOOL",2023,"White",268,50,318,1487,0.213853396099529,0.842767295597484,0.157232704402516,"Black",0,1,0,0,0,0,1,1,0,1.27633306281054
"BLAKE HIGH SCHOOL",2023,"Asian",18,0,18,1487,0.0121049092131809,1,0,"Black",0,1,0,0,0,0,1,1,0,1.27633306281054
"BLAKE HIGH SCHOOL",2023,"Black",234,385,619,1487,0.416274377942165,0.378029079159935,0.621970920840065,"Black",0,1,0,0,0,0,1,1,0,1.27633306281054
"BLAKE HIGH SCHOOL",2023,"Hispanic",196,248,444,1487,0.298587760591796,0.441441441441441,0.558558558558559,"Black",0,1,0,0,0,0,1,1,0,1.27633306281054
"BLAKE HIGH SCHOOL",2023,"Multiracial",66,22,88,1487,0.0591795561533289,0.75,0.25,"Black",0,1,0,0,0,0,1,1,0,1.27633306281054
"Blake High School",2024,"White",243,58,301,1631,0.184549356223176,0.807308970099668,0.192691029900332,"Black",0,0,0,0,0,0,0,NA,NA,1.23530560507788
